iter	MultiClass
0	1.089224501
1	1.081159298
2	1.073724199
3	1.066747607
4	1.060098445
5	1.054489435
6	1.049248225
7	1.044492415
8	1.040182641
9	1.036077182
10	1.032561422
11	1.029020216
12	1.025972227
13	1.022650658
14	1.019892687
15	1.017303744
16	1.014722083
17	1.012559356
18	1.010620265
19	1.008586134
20	1.006676366
21	1.005275542
22	1.003520053
23	1.001911968
24	1.000457792
25	0.9989943232
26	0.9977370173
27	0.9966281762
28	0.9953974961
29	0.9942624897
30	0.993466151
31	0.9925186097
32	0.9914931248
33	0.9904872195
34	0.9896108392
35	0.9888897366
36	0.9879524478
37	0.9871698434
38	0.9864764033
39	0.9858544216
40	0.9851035093
41	0.9843156389
42	0.9838870087
43	0.9831603673
44	0.9825085911
45	0.9819767144
46	0.9811813802
47	0.9807111536
48	0.9802199172
49	0.9796812421
50	0.9790837363
51	0.9785966689
52	0.9780873993
53	0.9776262252
54	0.9772523288
55	0.9768625221
56	0.9764028228
57	0.9759822724
58	0.9753521274
59	0.9750721637
60	0.9745707766
61	0.9741792848
62	0.9738028297
63	0.9733833454
64	0.9730349542
65	0.9723513478
66	0.9719961428
67	0.9716830603
68	0.9714316903
69	0.9710098804
70	0.9706069385
71	0.9703511488
72	0.9700494782
73	0.9697656116
74	0.9694933904
75	0.9688635379
76	0.9682420412
77	0.9679196399
78	0.9676756663
79	0.9673488511
80	0.9671828707
81	0.9668798957
82	0.9665768911
83	0.9662680337
84	0.9658879701
85	0.9655687631
86	0.9649865337
87	0.9647566273
88	0.9644826568
89	0.9642565263
90	0.963917494
91	0.9634611421
92	0.9632157303
93	0.9629886099
94	0.9627395388
95	0.9624675922
96	0.9622645047
97	0.9618654254
98	0.9615606922
99	0.9613458376
100	0.9610706707
101	0.9609690545
102	0.9608135524
103	0.9605943436
104	0.9602819415
105	0.9600753803
106	0.9595674257
107	0.959259776
108	0.9590250328
109	0.9587686378
110	0.9585772537
111	0.958410898
112	0.9582641987
113	0.9580543328
114	0.9579410539
115	0.9576759235
116	0.957293749
117	0.95709072
118	0.9569120784
119	0.9567858408
120	0.9564487966
121	0.9562867783
122	0.9560011573
123	0.9555590461
124	0.9554074096
125	0.9551295502
126	0.9548704989
127	0.9547320015
128	0.9545077345
129	0.9542738879
130	0.9540789995
131	0.9537554316
132	0.9535279049
133	0.9532984316
134	0.9529395675
135	0.9526844524
136	0.9524266314
137	0.9522120375
138	0.9519851412
139	0.9518134836
140	0.9516289357
141	0.9514494903
142	0.9511482351
143	0.9509457678
144	0.9506996033
145	0.9505389549
146	0.9500002526
147	0.9496462689
148	0.9493476751
149	0.9490390886
150	0.9488721099
151	0.9486480879
152	0.9484316223
153	0.9482648726
154	0.9478905952
155	0.9476588459
156	0.9475231081
157	0.9472436765
158	0.9470508034
159	0.9468418577
160	0.9466828946
161	0.9464991167
162	0.9462942683
163	0.9461713298
164	0.9459678017
165	0.9458008089
166	0.9456000703
167	0.9452658682
168	0.9451326653
169	0.9447998391
170	0.9446724604
171	0.9443879301
172	0.9440900977
173	0.9438917686
174	0.9435923958
175	0.9433733573
176	0.9431785519
177	0.9429672969
178	0.9427119937
179	0.9423139024
180	0.9421249399
181	0.9418963659
182	0.9416298491
183	0.9414349072
184	0.9411167615
185	0.9409691626
186	0.9406778808
187	0.9404087731
188	0.940203108
189	0.939859821
190	0.939667288
191	0.9394556226
192	0.9393230791
193	0.939127758
194	0.9387466575
195	0.9385865343
196	0.938299924
197	0.938087128
198	0.9378350294
199	0.9376324501
200	0.9374041135
201	0.9371528672
202	0.9370326646
203	0.9368571608
204	0.9366796794
205	0.9363559533
206	0.9361162913
207	0.9359470002
208	0.9356844012
209	0.9355142593
210	0.9352211023
211	0.9349508551
212	0.9346408313
213	0.9345070693
214	0.9341980651
215	0.9339082844
216	0.9335411466
217	0.9330796552
218	0.93275044
219	0.9324722743
220	0.9322334041
221	0.9318688354
222	0.9316885493
223	0.9313808673
224	0.9311281043
225	0.930922754
226	0.9306192162
227	0.9304926893
228	0.9302247105
229	0.9299985089
230	0.9296516914
231	0.9292005116
232	0.9289414274
233	0.9287989923
234	0.9285552393
235	0.928302259
236	0.9279177524
237	0.9275452245
238	0.9273212639
239	0.926948542
240	0.9267492446
241	0.9265434286
242	0.9263031523
243	0.926135973
244	0.9258981148
245	0.9256378694
246	0.9253521728
247	0.9251520857
248	0.9249268251
249	0.9247290832
