iter	Passed	Remaining
0	8	2022
1	17	2229
2	25	2082
3	34	2122
4	42	2074
5	51	2084
6	57	2001
7	66	2010
8	73	1961
9	81	1957
10	88	1914
11	96	1910
12	103	1882
13	111	1874
14	118	1853
15	125	1831
16	132	1822
17	139	1794
18	147	1791
19	154	1774
20	162	1774
21	169	1752
22	177	1750
23	184	1733
24	191	1724
25	199	1715
26	205	1698
27	213	1694
28	220	1683
29	229	1685
30	236	1670
31	244	1668
32	251	1654
33	260	1652
34	266	1639
35	273	1627
36	281	1619
37	288	1607
38	296	1602
39	302	1588
40	311	1586
41	317	1574
42	325	1568
43	332	1555
44	340	1550
45	347	1539
46	353	1527
47	363	1528
48	369	1516
49	377	1510
50	384	1499
51	392	1494
52	399	1483
53	407	1479
54	414	1469
55	422	1464
56	429	1454
57	436	1444
58	443	1436
59	450	1425
60	458	1421
61	465	1412
62	473	1406
63	480	1397
64	488	1391
65	495	1382
66	503	1375
67	511	1367
68	518	1359
69	525	1351
70	532	1342
71	540	1336
72	550	1333
73	559	1329
74	566	1321
75	573	1313
76	580	1304
77	588	1297
78	594	1287
79	603	1281
80	609	1271
81	617	1264
82	624	1256
83	632	1250
84	639	1242
85	646	1232
86	654	1225
87	660	1215
88	669	1210
89	675	1201
90	684	1195
91	691	1187
92	700	1183
93	707	1173
94	714	1165
95	722	1158
96	731	1153
97	738	1145
98	746	1138
99	753	1129
100	759	1120
101	768	1114
102	775	1106
103	783	1100
104	790	1091
105	799	1085
106	806	1078
107	814	1071
108	822	1064
109	831	1057
110	837	1048
111	845	1041
112	852	1033
113	859	1025
114	869	1020
115	878	1014
116	886	1007
117	896	1002
118	903	995
119	912	988
120	918	979
121	926	971
122	933	963
123	941	956
124	949	949
125	957	942
126	966	936
127	977	932
128	986	924
129	996	919
130	1003	911
131	1011	904
132	1018	895
133	1026	888
134	1033	880
135	1041	872
136	1048	864
137	1055	856
138	1063	848
139	1069	840
140	1078	833
141	1084	824
142	1093	818
143	1099	809
144	1107	801
145	1115	794
146	1122	786
147	1130	778
148	1136	770
149	1143	762
150	1151	754
151	1157	746
152	1165	738
153	1171	730
154	1179	723
155	1186	714
156	1193	707
157	1201	699
158	1207	691
159	1215	683
160	1222	675
161	1230	668
162	1237	660
163	1245	652
164	1252	645
165	1258	637
166	1265	629
167	1272	621
168	1280	613
169	1287	605
170	1295	598
171	1301	590
172	1309	582
173	1316	575
174	1324	567
175	1331	559
176	1337	551
177	1348	545
178	1355	537
179	1363	530
180	1369	522
181	1377	514
182	1384	506
183	1392	499
184	1398	491
185	1405	483
186	1413	476
187	1419	468
188	1427	460
189	1434	452
190	1442	445
191	1449	437
192	1456	430
193	1463	422
194	1470	414
195	1478	407
196	1484	399
197	1492	392
198	1499	384
199	1508	377
200	1514	369
201	1522	361
202	1529	354
203	1537	346
204	1544	339
205	1552	331
206	1559	323
207	1565	316
208	1573	308
209	1580	300
210	1587	293
211	1594	285
212	1601	278
213	1608	270
214	1614	262
215	1623	255
216	1629	247
217	1638	240
218	1644	232
219	1653	225
220	1660	217
221	1668	210
222	1674	202
223	1682	195
224	1690	187
225	1696	180
226	1704	172
227	1710	165
228	1718	157
229	1725	150
230	1733	142
231	1740	135
232	1748	127
233	1755	120
234	1762	112
235	1770	105
236	1777	97
237	1785	90
238	1792	82
239	1800	75
240	1807	67
241	1815	60
242	1822	52
243	1829	44
244	1838	37
245	1846	30
246	1854	22
247	1863	15
248	1871	7
249	1878	0
